Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Organism Part]	Term Source 2 REF	Term Source 2 Accession	Protocol REF	Protocol REF	Protocol REF	Assay Name	Experimental Condition [stretch duration]	Experimental Condition [ Nocodazole or DMSO]	Comment [Gene Identifier]	Comment [Gene Symbol]	Comment [Gene Annotation Comments]	Dataset Name	Image File	Comment [Image File Path]	Comment [Image File Comments]	Comment [Image File Type]	Channels	Protocol REF	Processed Data File
ExperimentB_No01_DMSO_23_control__014.lsm	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__014.lsm	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__014.lsm	ImagesOfExperimentA	(XYZC) = 512 x 512 x 3 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__015.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__015.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__015.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__016.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__016.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__016.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__017.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__017.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__017.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__018.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__018.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__018.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__019.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__019.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__019.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__020.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__020.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__020.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__021.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__021.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__021.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__022.lsm	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__022.lsm	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__022.lsm	ImagesOfExperimentA	(XYZC) = 1512 x 1512 x 3 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No01_DMSO_23_control__023.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No01_DMSO_23_control__023.czi	0h (control)	DMSO				Chamber_23	ExperimentB_No01_DMSO_23_control__023.czi	ImagesOfExperimentA	(XYZC) = 512 x 512 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
