Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Organism Part]	Term Source 2 REF	Term Source 2 Accession	Protocol REF	Protocol REF	Protocol REF	Assay Name	Experimental Condition [stretch duration]	Experimental Condition [ Nocodazole or DMSO]	Comment [Gene Identifier]	Comment [Gene Symbol]	Comment [Gene Annotation Comments]	Dataset Name	Image File	Comment [Image File Path]	Comment [Image File Comments]	Comment [Image File Type]	Channels	Protocol REF	Processed Data File
ExperimentB_No08_Noc_09_10min__014.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__014.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__014.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__015.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__015.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__015.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__016.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__016.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__016.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__017.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__017.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__017.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__018.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__018.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__018.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__019.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__019.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__019.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__020.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__020.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__020.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__021.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__021.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__021.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__022.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__022.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__022.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__023.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__023.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__023.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__024.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__024.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__024.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__025.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__025.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__025.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__026.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__026.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__026.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__027.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__027.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__027.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__028.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__028.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__028.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__029.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__029.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__029.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__030.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__030.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__030.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__031.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__031.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__031.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__032.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__032.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__032.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__033.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__033.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__033.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No08_Noc_09_10min__034.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No08_Noc_09_10min__034.czi	10min	Nocodazole				Chamber_9	ExperimentB_No08_Noc_09_10min__034.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__001.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__001.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__001.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__002.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__002.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__002.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__003.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__003.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__003.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__004.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__004.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__004.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__005.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__005.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__005.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__006.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__006.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__006.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__007.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__007.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__007.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__008.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__008.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__008.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__009.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__009.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__009.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__010.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__010.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__010.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__011.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__011.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__011.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__012.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__012.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__012.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__013.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__013.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__013.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__014.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__014.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__014.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__015.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__015.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__015.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__016.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__016.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__016.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__017.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__017.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__017.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__018.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__018.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__018.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__019.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__019.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__019.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__020.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__020.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__020.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__021.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__021.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__021.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__022.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__022.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__022.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__023.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__023.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__023.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__024.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__024.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__024.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__025.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__025.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__025.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__026.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__026.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__026.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__027.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__027.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__027.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__028.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__028.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__028.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__029.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__029.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__029.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__030.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__030.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__030.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__031.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__031.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__031.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__032.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__032.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__032.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__033.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__033.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__033.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__034.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__034.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__034.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__035.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__035.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__035.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__036.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__036.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__036.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__037.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__037.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__037.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__038.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__038.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__038.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__039.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__039.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__039.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No09_DMSO_20_1h__040.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No09_DMSO_20_1h__040.czi	1h	DMSO				Chamber_20	ExperimentB_No09_DMSO_20_1h__040.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No10_DMSO_21_1h__001.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No10_DMSO_21_1h__001.czi	1h	DMSO				Chamber_21	ExperimentB_No10_DMSO_21_1h__001.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No10_DMSO_21_1h__002.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No10_DMSO_21_1h__002.czi	1h	DMSO				Chamber_21	ExperimentB_No10_DMSO_21_1h__002.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
ExperimentB_No10_DMSO_21_1h__003.czi	Homo Sapiens	NCDITaxon		umbilical cord	EFO		growth protocol	treatment protocol	image acquisition and feature extraction protocol	ExperimentB_No10_DMSO_21_1h__003.czi	1h	DMSO				Chamber_21	ExperimentB_No10_DMSO_21_1h__003.czi	ImagesOfExperimentA	(XYZC) = 1488 x 1488 x 1 x 3	raw	Ch1: Actin, Ch2: Cell, Ch3: Microtubules		
